# === Stations Metadata ===
# north.cnv: Lat=42.491, Lon=3.188, X=-121.7, Y=877.7
# south.cnv: Lat=42.475, Lon=3.187, X=-203.8, Y=-891.5
# east.cnv: Lat=42.483, Lon=3.201, X=945.5, Y=-6.884
# west.cnv: Lat=42.483, Lon=3.177, X=-1025.0, Y=-6.884
# === Triangles Metadata ===
# triangle_T1_from: north_south_east
# triangle_T2_from: north_south_west
# triangle_T3_from: north_east_west
# triangle_T4_from: south_east_west
# =========================
depth_m,density (kg/m^3),salinity (PSU),temperature (degC),source_file,dp_dx_T1,dp_dx_T2,dp_dx_T3,dp_dx_T4,dp_dy_T1,dp_dy_T2,dp_dy_T3,dp_dy_T4,vx_T1_cm_s,vy_T1_cm_s,vx_T2_cm_s,vy_T2_cm_s,vx_T3_cm_s,vy_T3_cm_s,vx_T4_cm_s,vy_T4_cm_s
37.0,1027.9732,38.08,17.29,north.cnv,6.776e-05,-1.775e-05,3.035e-05,3.035e-05,9.43e-05,9.827e-05,4.917e-05,0.0001429,-8.17749743330872,11.78055571970139,-8.730281840182535,-0.12793038321146355,-1.891739205305953,6.570934349594246,-14.948110453341654,6.570934349594246
38.0,1028.0209,38.1,17.18,north.cnv,4.936e-05,-1.845e-05,1.969e-05,1.969e-05,7.989e-05,8.304e-05,4.411e-05,0.0001184,-7.401228383121534,11.30093824170365,-7.923405110585039,0.0513431676203524,-1.4631345263253976,6.379612061470755,-13.797650376458906,6.379612061470755
39.0,1028.0477,38.09,17.05,north.cnv,7.259e-05,-2.245e-05,3.101e-05,3.101e-05,5.898e-05,6.339e-05,8.813e-06,0.000113,-6.82813602387707,10.595601273959403,-7.307462000166141,0.26948361294144263,-1.3775010410418886,6.0782964619425925,-12.699660607136687,6.0782964619425925
40.0,1028.0726,38.08,16.93,north.cnv,8.03e-05,-3.445e-05,3.01e-05,3.01e-05,4.974e-05,5.507e-05,-1.083e-05,0.000115,-6.344826190902848,9.815348367087065,-6.772362030284951,0.6042247417303841,-1.4827331578716176,5.785823080910749,-11.582237390569828,5.785823080910749
41.0,1028.1104,38.09,16.82,north.cnv,7.981e-05,-2.001e-05,3.614e-05,3.614e-05,4.892e-05,5.355e-05,-3.768e-06,0.0001057,-5.8694840712989285,9.039856654789665,-6.252031480309687,0.7986563814130179,-1.51934577248052,5.434660689200083,-10.555179703690548,5.434660689200083
42.0,1028.1437,38.09,16.71,north.cnv,6.158e-05,-5.742e-06,3.213e-05,3.213e-05,6.152e-05,6.465e-05,2.599e-05,9.979e-05,-5.271711234053771,8.441500814127167,-5.623845298126666,0.8544498084523866,-1.2668081255364108,5.122462359214925,-9.585547853419186,5.122462359214925
43.0,1028.1946,38.12,16.6,north.cnv,7.597e-05,3.828e-06,4.441e-05,4.441e-05,9.177e-05,9.512e-05,5.369e-05,0.0001328,-4.380007507233417,7.703321320539479,-4.699590547171539,0.8172541904261408,-0.7451172342540247,4.690942663147673,-8.295166956375024,4.690942663147673
44.0,1028.1919,38.07,16.49,north.cnv,9.88e-05,-3.944e-06,5.385e-05,5.385e-05,7.737e-05,8.214e-05,2.314e-05,0.0001358,-3.6282246005744794,6.743309026654213,-3.9014588688341316,0.8555769483925744,-0.5202722496335284,4.167697096085714,-6.9756358884638985,4.167697096085714
45.0,1028.1784,38.02,16.4,north.cnv,0.0001076,-1.241e-05,5.512e-05,5.512e-05,5.684e-05,6.241e-05,-6.528e-06,0.0001251,-3.0759260298817814,5.697789564892525,-3.295038147565109,0.9761614885455714,-0.5837030214400372,3.63211129002341,-5.760073763311603,3.63211129002341
46.0,1028.2038,38.03,16.35,north.cnv,9.709e-05,3.132e-06,5.598e-05,5.598e-05,5.857e-05,6.293e-05,8.982e-06,0.000112,-2.506817527322469,4.7543928684014265,-2.683564730012479,0.9457287101604592,-0.49642740986435285,3.0881691016459065,-4.671800717611706,3.0881691016459065
47.0,1028.227,38.05,16.31,north.cnv,0.0001094,1.346e-05,6.74e-05,6.74e-05,6.287e-05,6.732e-05,1.225e-05,0.0001174,-1.8959271131871784,3.6913833041195625,-2.0294348957578623,0.8149416102040234,-0.3773975454909255,2.4332619295015014,-3.531057364351277,2.4332619295015014
48.0,1028.2441,38.06,16.29,north.cnv,0.0001245,2.39e-05,8.05e-05,8.05e-05,6.533e-05,7e-05,1.222e-05,0.0001225,-1.2611335589409793,2.4816512131406587,-1.3492642421954266,0.5827119156305614,-0.25865918282617173,1.651065677904704,-2.3407587206170106,1.651065677904704
49.0,1028.2568,38.06,16.27,north.cnv,0.0001295,2.952e-05,8.577e-05,8.577e-05,6.549e-05,7.013e-05,1.271e-05,0.0001223,-0.624785328915209,1.2233355040501526,-0.667830414562089,0.2958742342996601,-0.13515962558647843,0.8176622928182695,-1.1524034216072145,0.8176622928182695
50.0,1028.2659,38.07,16.26,north.cnv,0.0001259,3.045e-05,8.415e-05,8.415e-05,6.43e-05,6.873e-05,1.391e-05,0.0001186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,1028.2739,38.07,16.26,north.cnv,0.0001339,3.184e-05,8.928e-05,8.928e-05,6.438e-05,6.912e-05,1.049e-05,0.0001224,0.6255626668049947,-1.3010692930287167,0.6716199367747935,-0.3093804801346849,0.10192843079814295,-0.8675090850007763,1.1893269713720294,-0.8675090850007763
52.0,1028.2813,38.07,16.26,north.cnv,0.0001376,3.428e-05,9.237e-05,9.237e-05,6.501e-05,6.98e-05,1.049e-05,0.0001237,1.2572468694920511,-2.6380904634600193,1.3498472456127653,-0.6424697659078333,0.2038568615962859,-1.7650428459945218,2.3912856834530736,-1.7650428459945218
53.0,1028.2884,38.08,16.26,north.cnv,0.0001432,3.225e-05,9.466e-05,9.466e-05,6.424e-05,6.938e-05,5.676e-06,0.0001273,1.881449194989921,-4.029525286176317,2.0239935305293626,-0.9558341027276711,0.2590089848765764,-2.6848279040833827,3.628224600574473,-2.6848279040833827
54.0,1028.2948,38.08,16.25,north.cnv,0.0001413,2.662e-05,9.115e-05,9.115e-05,6.2e-05,6.733e-05,1.451e-06,0.0001272,2.483886059573793,-5.402498334010205,2.6782205320202026,-1.2144932855538428,0.27310795085256245,-3.570507262257898,4.864191845333643,-3.570507262257898
55.0,1028.3012,38.08,16.25,north.cnv,0.0001449,1.346e-05,8.74e-05,8.74e-05,6.144e-05,6.754e-05,-7.942e-06,0.0001362,3.080881558929165,-6.810451586884446,3.3344880454717307,-1.3452803855102786,0.19593773184409358,-4.41974890684871,6.187609602693694,-4.41974890684871
56.0,1028.3074,38.08,16.25,north.cnv,0.000151,-9.803e-06,8.065e-05,8.065e-05,6.28e-05,7.026e-05,-2.208e-05,0.0001542,3.6910918024108934,-8.277676853854844,4.01718504717597,-1.2500273438406708,-0.018607525736740627,-5.203402666988858,7.685928385255519,-5.203402666988858
57.0,1028.3165,38.08,16.24,north.cnv,0.0001508,2.494e-06,8.593e-05,8.593e-05,6.326e-05,7.014e-05,-1.503e-05,0.0001476,4.30577173875889,-9.742958776100778,4.698716042045532,-1.2742608525547396,-0.16464988178021756,-6.03836072785486,9.120116791910025,-6.03836072785486
58.0,1028.3297,38.09,16.23,north.cnv,,,,,,,,,,,,,,,,
59.0,1028.3473,38.1,16.2,north.cnv,,,,,,,,,,,,,,,,
60.0,1028.3392,38.07,16.17,north.cnv,,,,,,,,,,,,,,,,
1.0,1026.6301,38.02,21.6,south.cnv,1.999e-05,-9.867e-05,-3.192e-05,-3.192e-05,-6.576e-05,-6.025e-05,-0.0001284,1.686e-06,-3.1498945884566956,0.49886339247646355,-5.01519944714813,-39.71390128743972,18.0752144665422,-17.09358246259727,-26.01006587755433,-17.09358246259727
2.0,1026.6763,38.04,21.52,south.cnv,-1.48e-05,-4.304e-05,-2.715e-05,-2.715e-05,-4.792e-05,-4.661e-05,-6.283e-05,-3.187e-05,-3.6155199844382944,0.6426709020868071,-5.468095935184489,-39.29569350273504,17.464712721351802,-16.829773416251268,-26.319737859397684,-16.829773416251268
3.0,1026.6932,38.03,21.44,south.cnv,-9.023e-06,-3.005e-05,-1.822e-05,-1.822e-05,-5.305e-05,-5.208e-05,-6.415e-05,-4.11e-05,-4.130992172602397,0.7303448993310051,-5.974142901434941,-39.003705957884314,16.84138490097994,-16.652734711852588,-26.719095200275056,-16.652734711852588
4.0,1026.6939,37.99,21.35,south.cnv,1.471e-05,-2.448e-05,-2.436e-06,-2.436e-06,-4.839e-05,-4.657e-05,-6.907e-05,-2.611e-05,-4.601184428686487,0.5874118948466703,-6.426650720526408,-38.765840563609906,16.170250800386263,-16.629064773108613,-26.972798854053845,-16.629064773108613
5.0,1026.7058,37.97,21.27,south.cnv,4.403e-05,-1.613e-05,1.771e-05,1.771e-05,-4.715e-05,-4.436e-05,-7.89e-05,-1.295e-05,-5.0593279474788995,0.15958455375589825,-6.8576845804125455,-38.609109811581874,15.403601306585175,-16.80114794845991,-27.098630424962895,-16.80114794845991
6.0,1026.7312,37.98,21.21,south.cnv,6.478e-05,-1.647e-05,2.923e-05,2.923e-05,-5.071e-05,-4.694e-05,-9.36e-05,-4.522e-06,-5.552063002366772,-0.4698648024980245,-7.313787587244271,-38.449075373522255,14.494115975535975,-17.08516777994034,-27.14256944918303,-17.08516777994034
7.0,1026.7686,38.0,21.14,south.cnv,1.863e-05,-1.085e-05,5.735e-06,5.735e-06,-5.371e-05,-5.235e-05,-6.927e-05,-3.696e-05,-6.0739482281216075,-0.6508873635818555,-7.8224580688727485,-38.343648922220076,13.821038530217832,-17.140893189914348,-27.501699554263993,-17.140893189914348
8.0,1026.7957,38.0,21.07,south.cnv,-4.101e-05,-2.442e-05,-3.375e-05,-3.375e-05,-4.857e-05,-4.934e-05,-3.982e-05,-5.8e-05,-6.545889494457715,-0.25240452783049144,-8.301881212398044,-38.106366531363015,13.43411859557703,-16.81295376766103,-28.065269524358584,-16.81295376766103
9.0,1026.8395,38.03,21.0,south.cnv,-7.115e-05,-3.672e-05,-5.608e-05,-5.608e-05,-4.864e-05,-5.024e-05,-3.047e-05,-6.821e-05,-7.018510931447384,0.438940357897613,-8.790049407183425,-37.7495684399514,13.138050026804923,-16.268039906921295,-28.728047242637068,-16.268039906921295
10.0,1026.9007,38.07,20.9,south.cnv,-9.483e-05,-5.789e-05,-7.867e-05,-7.867e-05,-5.45e-05,-5.621e-05,-3.5e-05,-7.55e-05,-7.548072368863852,1.3603772590022674,-9.33622644199406,-37.187067309455266,12.797964700023705,-15.50362525955334,-29.461659876122265,-15.50362525955334
11.0,1026.9468,38.08,20.78,south.cnv,-0.000108,-9.449e-05,-0.0001021,-0.0001021,-4.58e-05,-4.643e-05,-3.869e-05,-5.346e-05,-7.993098310766132,2.409783410212883,-9.787373919778403,-36.2689340943822,12.422024663076126,-14.511547777714416,-29.98111592097152,-14.511547777714416
12.0,1026.9832,38.07,20.64,south.cnv,-0.0001159,-0.0001015,-0.0001096,-0.0001096,-3.079e-05,-3.146e-05,-2.317e-05,-3.9e-05,-8.292276231097379,3.53595167803983,-10.093062044936605,-35.28268664671667,12.19688817674696,-13.446594868708088,-30.36006814224202,-13.446594868708088
13.0,1027.0262,38.06,20.49,south.cnv,-9.497e-05,-7.175e-05,-8.481e-05,-8.481e-05,-5.715e-05,-5.822e-05,-4.489e-05,-7.034e-05,-8.847586986112997,4.45874892045161,-10.658769694228106,-34.58551172681518,11.76070445334099,-12.622519538299086,-31.043542481836045,-12.622519538299086
14.0,1027.0417,38.02,20.33,south.cnv,-2.829e-05,-0.0001629,-8.719e-05,-8.719e-05,-9.608e-05,-8.983e-05,-0.0001671,-1.954e-05,-9.781169791745553,4.733635031727057,-11.531622977221158,-33.002657448739164,10.137039936051233,-11.77531840566896,-31.23340726141619,-11.77531840566896
15.0,1027.0451,37.97,20.19,south.cnv,1.759e-05,-0.0002065,-8.044e-05,-8.044e-05,-8.492e-05,-7.452e-05,-0.0002032,4.246e-05,-10.60631396175301,4.562717863210439,-12.255713221556483,-30.996154020729975,8.162601695995704,-10.993705157489497,-30.82083517641246,-10.993705157489497
16.0,1027.0489,37.93,20.08,south.cnv,3.293e-05,-0.0001616,-5.217e-05,-5.217e-05,-5.963e-05,-5.061e-05,-0.0001623,5.095e-05,-11.185722191351982,4.242746154327425,-12.747476604082124,-29.425931483362984,6.585577452093085,-10.486783686113037,-30.32576810785523,-10.486783686113037
17.0,1027.0895,37.95,19.99,south.cnv,-3.884e-05,-0.0001926,-0.0001061,-0.0001061,-5.579e-05,-4.866e-05,-0.000137,3.162e-05,-11.727818202241245,4.620143699818354,-13.22029237554424,-27.554490513704053,5.254386315835173,-9.455839309784832,-30.018525306917454,-9.455839309784832
18.0,1027.1338,37.98,19.92,south.cnv,-0.0001023,-0.0002411,-0.000163,-0.000163,-6.065e-05,-5.421e-05,-0.0001339,1.828e-05,-12.317137489934982,5.614164526381742,-13.747035963110235,-25.211788448362576,3.9533170228064574,-7.872013359346589,-29.840903599101438,-7.872013359346589
19.0,1027.1757,38.0,19.86,south.cnv,-0.0001113,-0.0002825,-0.0001862,-0.0001862,-6.645e-05,-5.85e-05,-0.0001568,3.089e-05,-12.962813774638182,6.6956358655460155,-14.315464295015985,-22.466814025057033,2.4297347588266014,-6.062759420870508,-29.540754006407955,-6.062759420870508
20.0,1027.2133,38.02,19.78,south.cnv,-0.000119,-0.0003179,-0.000206,-0.000206,-6.18e-05,-5.257e-05,-0.0001668,5.129e-05,-13.56330729449759,7.851925976602157,-14.826272455841373,-19.37786758552134,0.8089852586235402,-4.061114354672483,-29.042383251819135,-4.061114354672483
21.0,1027.2407,38.02,19.71,south.cnv,-0.0001275,-0.0002568,-0.0001841,-0.0001841,-4.569e-05,-3.969e-05,-0.0001139,2.778e-05,-14.007264396801414,9.090808238448021,-15.211929216411274,-16.882612959309434,-0.2977495619587671,-2.2722655358032764,-28.772452669591072,-2.2722655358032764
